date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:47:04	160602/160602	---M-Z	200	added ('OK')	text/html	etag:W/%225ea1cf52-2735a%22	https://yevgenysim.github.io/shopper/shop.html	C:/My%20Web%20Sites/ProyectoFinal/yevgenysim.github.io/shopper/shop.html	(from https://yevgenysim.github.io/shopper/)
19:47:04	15975/15975	---M--	200	added ('OK')	image/jpeg	etag:%225ea1cf51-3e67%22	https://yevgenysim.github.io/shopper/assets/img/products/product-10.jpg	C:/My%20Web%20Sites/ProyectoFinal/yevgenysim.github.io/shopper/assets/img/products/product-10.jpg	(from https://yevgenysim.github.io/shopper/)
19:47:04	120925/120925	---M-Z	200	added ('OK')	text/html	etag:W/%225ea1cf52-1d85d%22	https://yevgenysim.github.io/shopper/checkout.html	C:/My%20Web%20Sites/ProyectoFinal/yevgenysim.github.io/shopper/checkout.html	(from https://yevgenysim.github.io/shopper/)
19:47:05	107908/107908	---M-Z	200	added ('OK')	text/html	etag:W/%225ea1cf52-1a584%22	https://yevgenysim.github.io/shopper/shopping-cart.html	C:/My%20Web%20Sites/ProyectoFinal/yevgenysim.github.io/shopper/shopping-cart.html	(from https://yevgenysim.github.io/shopper/)
19:47:05	146856/146856	---M-Z	200	added ('OK')	text/html	etag:W/%225ea1cf52-23da8%22	https://yevgenysim.github.io/shopper/index.html	C:/My%20Web%20Sites/ProyectoFinal/yevgenysim.github.io/shopper/index-2.html	(from https://yevgenysim.github.io/shopper/)
19:47:05	128375/128375	---M-Z	200	added ('OK')	text/html	etag:W/%225ea1cf52-1f577%22	https://yevgenysim.github.io/shopper/index-classic.html	C:/My%20Web%20Sites/ProyectoFinal/yevgenysim.github.io/shopper/index-classic.html	(from https://yevgenysim.github.io/shopper/)
19:47:05	152948/152948	---M-Z	200	added ('OK')	text/html	etag:W/%225ea1cf52-25574%22	https://yevgenysim.github.io/shopper/index-fashion.html	C:/My%20Web%20Sites/ProyectoFinal/yevgenysim.github.io/shopper/index-fashion.html	(from https://yevgenysim.github.io/shopper/)
19:47:06	154888/154888	---M-Z	200	added ('OK')	text/html	etag:W/%225ea1cf52-25d08%22	https://yevgenysim.github.io/shopper/index-boxed.html	C:/My%20Web%20Sites/ProyectoFinal/yevgenysim.github.io/shopper/index-boxed.html	(from https://yevgenysim.github.io/shopper/)
19:47:06	97742/97742	---M-Z	200	added ('OK')	text/html	etag:W/%225ea1cf52-17dce%22	https://yevgenysim.github.io/shopper/index-simple.html	C:/My%20Web%20Sites/ProyectoFinal/yevgenysim.github.io/shopper/index-simple.html	(from https://yevgenysim.github.io/shopper/)
19:47:06	84104/84104	---M-Z	200	added ('OK')	text/html	etag:W/%225ea1cf52-14888%22	https://yevgenysim.github.io/shopper/index-asymmetric.html	C:/My%20Web%20Sites/ProyectoFinal/yevgenysim.github.io/shopper/index-asymmetric.html	(from https://yevgenysim.github.io/shopper/)
